system:index,.geo
0,"{""type"":""Point"",""coordinates"":[-109.9705291962564,45.22317135223949]}"
1,"{""type"":""Point"",""coordinates"":[-109.2234588837564,43.749779975663]}"
2,"{""type"":""Point"",""coordinates"":[-109.8826385712564,44.19255440767952]}"
3,"{""type"":""Point"",""coordinates"":[-112.6511932587564,47.19952084308202]}"
4,"{""type"":""Point"",""coordinates"":[-113.0027557587564,48.20500842236602]}"
5,"{""type"":""Point"",""coordinates"":[-114.3650604462564,46.508327686569125]}"
6,"{""type"":""Point"",""coordinates"":[-105.7957245087564,39.6506522791578]}"
7,"{""type"":""Point"",""coordinates"":[-106.3670135712564,38.73106584401809]}"
8,"{""type"":""Point"",""coordinates"":[-107.5535370087564,37.73000748319126]}"
9,"{""type"":""Point"",""coordinates"":[-119.5066620087564,38.145909319787215]}"
10,"{""type"":""Point"",""coordinates"":[-119.2869354462564,37.79948782238297]}"
11,"{""type"":""Point"",""coordinates"":[-118.7156463837564,37.20682791549022]}"
12,"{""type"":""Point"",""coordinates"":[-120.2097870087564,41.28865336424859]}"
13,"{""type"":""Point"",""coordinates"":[-109.4431854462564,43.015202134559985]}"
14,"{""type"":""Point"",""coordinates"":[-109.6629120087564,44.097952077384754]}"
15,"{""type"":""Point"",""coordinates"":[-109.5310760712564,45.192210168677356]}"
16,"{""type"":""Point"",""coordinates"":[-112.3875213837564,47.02006715794068]}"
17,"{""type"":""Point"",""coordinates"":[-110.3660370087564,46.174610749358614]}"
18,"{""type"":""Point"",""coordinates"":[-112.9588104462564,45.562632162425395]}"
19,"{""type"":""Point"",""coordinates"":[-112.0359588837564,45.6241332536636]}"
20,"{""type"":""Point"",""coordinates"":[-111.8601776337564,45.00608916291728]}"
21,"{""type"":""Point"",""coordinates"":[-110.9373260712564,44.94391400554756]}"
22,"{""type"":""Point"",""coordinates"":[-105.4881073212564,42.01105110029385]}"
23,"{""type"":""Point"",""coordinates"":[-105.3123260712564,41.321665288341826]}"
24,"{""type"":""Point"",""coordinates"":[-113.3543182587564,48.146398697084756]}"
25,"{""type"":""Point"",""coordinates"":[-113.9695526337564,47.437851500373895]}"
26,"{""type"":""Point"",""coordinates"":[-115.8152557587564,47.6158941978782]}"
27,"{""type"":""Point"",""coordinates"":[-117.3972870087564,45.31595378973237]}"
28,"{""type"":""Point"",""coordinates"":[-113.1345916962564,44.12950303270238]}"
29,"{""type"":""Point"",""coordinates"":[-114.0574432587564,43.78151618389141]}"
30,"{""type"":""Point"",""coordinates"":[-114.5408416962564,43.90829263335045]}"
31,"{""type"":""Point"",""coordinates"":[-121.6599823212564,45.31595378973237]}"
32,"{""type"":""Point"",""coordinates"":[-121.8357635712564,44.69453927103115]}"
33,"{""type"":""Point"",""coordinates"":[-121.7478729462564,46.90009516650596]}"
34,"{""type"":""Point"",""coordinates"":[-121.4402557587564,46.508327686569125]}"
35,"{""type"":""Point"",""coordinates"":[-122.1873260712564,46.35689068190712]}"
36,"{""type"":""Point"",""coordinates"":[-123.5496307587564,47.82284709656862]}"
37,"{""type"":""Point"",""coordinates"":[-123.3738495087564,47.645509232556776]}"
38,"{""type"":""Point"",""coordinates"":[-121.2644745087564,48.146398697084756]}"
39,"{""type"":""Point"",""coordinates"":[-120.7810760712564,47.467567254050564]}"
40,"{""type"":""Point"",""coordinates"":[-121.4842010712564,48.02897821631018]}"
41,"{""type"":""Point"",""coordinates"":[-113.1345916962564,47.526948391905194]}"
42,"{""type"":""Point"",""coordinates"":[-112.5193573212564,46.87006013221944]}"
43,"{""type"":""Point"",""coordinates"":[-109.4871307587564,45.09922550294908]}"
44,"{""type"":""Point"",""coordinates"":[-109.1795135712564,42.88654119443862]}"
45,"{""type"":""Point"",""coordinates"":[-107.3777557587564,41.51938575129874]}"
46,"{""type"":""Point"",""coordinates"":[-106.7185760712564,40.79147056696949]}"
47,"{""type"":""Point"",""coordinates"":[-105.7517791962564,40.85797853775541]}"
48,"{""type"":""Point"",""coordinates"":[-115.4197479462564,40.62490894320978]}"
49,"{""type"":""Point"",""coordinates"":[-114.9363495087564,40.156322291392556]}"
50,"{""type"":""Point"",""coordinates"":[-116.6502166962564,45.408584561234875]}"
51,"{""type"":""Point"",""coordinates"":[-114.4090057587564,45.96118466127573]}"
52,"{""type"":""Point"",""coordinates"":[-113.3103729462564,47.34860348246058]}"
53,"{""type"":""Point"",""coordinates"":[-109.3992401337564,46.77985412327354]}"
54,"{""type"":""Point"",""coordinates"":[-108.6082245087564,47.970167431094744]}"
55,"{""type"":""Point"",""coordinates"":[-109.3992401337564,48.234288162861816]}"
56,"{""type"":""Point"",""coordinates"":[-121.5720916962564,47.970167431094744]}"
57,"{""type"":""Point"",""coordinates"":[-121.7918182587564,44.19255440767952]}"
58,"{""type"":""Point"",""coordinates"":[-123.3299041962564,42.043694778746044]}"
59,"{""type"":""Point"",""coordinates"":[-122.3191620087564,40.99079433339745]}"
60,"{""type"":""Point"",""coordinates"":[-117.3533416962564,38.9022668934945]}"
61,"{""type"":""Point"",""coordinates"":[-110.8054901337564,38.076755846118196]}"
62,"{""type"":""Point"",""coordinates"":[-105.7957245087564,38.18046149988746]}"
63,"{""type"":""Point"",""coordinates"":[-105.1365448212564,37.381627835722]}"
64,"{""type"":""Point"",""coordinates"":[-106.9822479462564,37.55602124712726]}"
65,"{""type"":""Point"",""coordinates"":[-106.7185760712564,37.381627835722]}"
66,"{""type"":""Point"",""coordinates"":[-107.2019745087564,44.34988802940446]}"
67,"{""type"":""Point"",""coordinates"":[-111.7722870087564,47.10986963254341]}"
68,"{""type"":""Point"",""coordinates"":[-115.3318573212564,47.76380157742387]}"
69,"{""type"":""Point"",""coordinates"":[-121.5720916962564,40.457930904033724]}"
70,"{""type"":""Point"",""coordinates"":[-79.5603729462564,38.83383586118182]}"
71,"{""type"":""Point"",""coordinates"":[-80.3074432587564,37.55602124712726]}"
72,"{""type"":""Point"",""coordinates"":[-79.6922088837564,38.421867922795784]}"
73,"{""type"":""Point"",""coordinates"":[-79.7800995087564,38.24951672259465]}"
74,"{""type"":""Point"",""coordinates"":[-82.3728729462564,35.686872232578764]}"
75,"{""type"":""Point"",""coordinates"":[-83.0320526337564,35.36498801461673]}"
76,"{""type"":""Point"",""coordinates"":[-78.8572479462564,38.86805961145185]}"
77,"{""type"":""Point"",""coordinates"":[-80.8787323212564,37.34670035076042]}"
78,"{""type"":""Point"",""coordinates"":[-110.8933807587564,43.87662378002806]}"
79,"{""type"":""Point"",""coordinates"":[-110.4539276337564,45.53185634264195]}"
80,"{""type"":""Point"",""coordinates"":[-110.3660370087564,43.431492014259696]}"
81,"{""type"":""Point"",""coordinates"":[-113.9256073212564,47.34860348246061]}"
82,"{""type"":""Point"",""coordinates"":[-115.2439666962564,47.19952084308205]}"
83,"{""type"":""Point"",""coordinates"":[-107.3338104462564,42.757611343170844]}"
84,"{""type"":""Point"",""coordinates"":[-106.5867401337564,42.434110847533674]}"
85,"{""type"":""Point"",""coordinates"":[-73.8914276337564,44.12950303270244]}"
86,"{""type"":""Point"",""coordinates"":[-71.5623260712564,44.0347996339619]}"
87,"{""type"":""Point"",""coordinates"":[-72.9685760712564,43.844938086846525]}"
88,"{""type"":""Point"",""coordinates"":[-70.4636932587564,45.006089162917306]}"
89,"{""type"":""Point"",""coordinates"":[-74.5945526337564,42.401668451792084]}"
