system:index,.geo
0,"{""type"":""Point"",""coordinates"":[-95.65702360359171,38.1212670519841]}"
1,"{""type"":""Point"",""coordinates"":[-95.57266625047578,38.133806952293675]}"
2,"{""type"":""Point"",""coordinates"":[-95.52183047847711,38.138926290097274]}"
3,"{""type"":""Point"",""coordinates"":[-95.49927696791707,38.14329321627277]}"
4,"{""type"":""Point"",""coordinates"":[-94.81398783412743,38.142831846946386]}"
5,"{""type"":""Point"",""coordinates"":[-94.81168649879265,38.14232556845393]}"
6,"{""type"":""Point"",""coordinates"":[-94.81629989829827,38.14281919002689]}"
7,"{""type"":""Point"",""coordinates"":[-94.81226403573498,38.14414724333747]}"
8,"{""type"":""Point"",""coordinates"":[-94.80274495361573,38.145425452354566]}"
9,"{""type"":""Point"",""coordinates"":[-94.80664846092202,38.14526935574335]}"
10,"{""type"":""Point"",""coordinates"":[-94.80733510642983,38.146602494424876]}"
11,"{""type"":""Point"",""coordinates"":[-94.70412106163457,38.15503480434551]}"
12,"{""type"":""Point"",""coordinates"":[-94.66295987283621,38.15371261086757]}"
13,"{""type"":""Point"",""coordinates"":[-94.1659524483996,38.11035496954392]}"
14,"{""type"":""Point"",""coordinates"":[-94.15897326177264,38.11233522360497]}"
15,"{""type"":""Point"",""coordinates"":[-94.13046169317562,38.111087288433254]}"
16,"{""type"":""Point"",""coordinates"":[-94.08939825886142,38.10485911187603]}"
17,"{""type"":""Point"",""coordinates"":[-94.04176912138519,38.09968881159925]}"
18,"{""type"":""Point"",""coordinates"":[-93.91484614498847,38.08715883440914]}"
19,"{""type"":""Point"",""coordinates"":[-93.90090191686113,38.08765629465284]}"
20,"{""type"":""Point"",""coordinates"":[-93.88475271787951,38.08688741050056]}"
21,"{""type"":""Point"",""coordinates"":[-93.80220894915158,38.07124899159927]}"
22,"{""type"":""Point"",""coordinates"":[-93.75264474400569,38.06188862827612]}"
23,"{""type"":""Point"",""coordinates"":[-93.65093911491567,38.063079070817636]}"
24,"{""type"":""Point"",""coordinates"":[-93.60480480504214,38.06315597809904]}"
25,"{""type"":""Point"",""coordinates"":[-93.53677551390643,38.05581634412815]}"
26,"{""type"":""Point"",""coordinates"":[-93.49893610730146,38.05268020290576]}"
27,"{""type"":""Point"",""coordinates"":[-93.48725164898946,38.052653089417895]}"
28,"{""type"":""Point"",""coordinates"":[-93.47062279025391,38.05175751338572]}"
29,"{""type"":""Point"",""coordinates"":[-92.89116711587309,37.975203811741366]}"
30,"{""type"":""Point"",""coordinates"":[-92.69789899994379,37.9659802782701]}"
31,"{""type"":""Point"",""coordinates"":[-92.67233255807241,37.9603411915882]}"
32,"{""type"":""Point"",""coordinates"":[-92.615717038605,37.95107012638559]}"
33,"{""type"":""Point"",""coordinates"":[-92.26347922997024,37.93206262867945]}"
34,"{""type"":""Point"",""coordinates"":[-92.22281414257577,37.92971291961015]}"
35,"{""type"":""Point"",""coordinates"":[-92.13446533934149,37.91867466926744]}"
36,"{""type"":""Point"",""coordinates"":[-92.09729782579501,37.920665368351784]}"
37,"{""type"":""Point"",""coordinates"":[-92.0941471226177,37.921670398424496]}"
38,"{""type"":""Point"",""coordinates"":[-92.09576184447633,37.92093955179968]}"
39,"{""type"":""Point"",""coordinates"":[-92.07335531774959,37.92088032320211]}"
40,"{""type"":""Point"",""coordinates"":[-92.0755753826665,37.921079216391504]}"
41,"{""type"":""Point"",""coordinates"":[-92.02181245962856,37.91605787176888]}"
42,"{""type"":""Point"",""coordinates"":[-91.97042055596,37.921212143395074]}"
43,"{""type"":""Point"",""coordinates"":[-91.97158884335698,37.92058860296782]}"
44,"{""type"":""Point"",""coordinates"":[-91.93789052522368,37.91697990960238]}"
45,"{""type"":""Point"",""coordinates"":[-91.93344256583657,37.91635368542657]}"
46,"{""type"":""Point"",""coordinates"":[-91.9017306065395,37.91683174419629]}"
47,"{""type"":""Point"",""coordinates"":[-91.90349601695209,37.91602013175437]}"
48,"{""type"":""Point"",""coordinates"":[-91.8259886076113,37.91136883177929]}"
49,"{""type"":""Point"",""coordinates"":[-91.79369954669778,37.907939477940296]}"
50,"{""type"":""Point"",""coordinates"":[-91.77383077047864,37.905969579531586]}"
51,"{""type"":""Point"",""coordinates"":[-91.77541456443515,37.909274916678186]}"
52,"{""type"":""Point"",""coordinates"":[-91.77105713753195,37.910639267608886]}"
53,"{""type"":""Point"",""coordinates"":[-91.76918280706917,37.91105372497772]}"
54,"{""type"":""Point"",""coordinates"":[-91.76275433070043,37.90940381572023]}"
55,"{""type"":""Point"",""coordinates"":[-91.75958414214108,37.90812060147804]}"
56,"{""type"":""Point"",""coordinates"":[-91.75818828198214,37.90800889543137]}"
57,"{""type"":""Point"",""coordinates"":[-91.74506780736579,37.90856026495195]}"
58,"{""type"":""Point"",""coordinates"":[-91.74361321534911,37.90822033719279]}"
59,"{""type"":""Point"",""coordinates"":[-91.74237377177701,37.90863129010833]}"
60,"{""type"":""Point"",""coordinates"":[-91.70763160884621,37.91147280865997]}"
61,"{""type"":""Point"",""coordinates"":[-91.70924635109094,37.911872087745635]}"
62,"{""type"":""Point"",""coordinates"":[-91.70550115742958,37.913613167970375]}"
63,"{""type"":""Point"",""coordinates"":[-91.701837247909,37.91198171941939]}"
64,"{""type"":""Point"",""coordinates"":[-91.69945582693651,37.912278250890076]}"
65,"{""type"":""Point"",""coordinates"":[-91.69961005395487,37.912702219511274]}"
66,"{""type"":""Point"",""coordinates"":[-91.68767471535921,37.92219804659459]}"
67,"{""type"":""Point"",""coordinates"":[-73.98965134406996,41.866461793865525]}"
68,"{""type"":""Point"",""coordinates"":[-73.97246012327548,41.86682862222015]}"
69,"{""type"":""Point"",""coordinates"":[-73.9728530809453,41.86843167991195]}"
70,"{""type"":""Point"",""coordinates"":[-73.97586638746697,41.89006226611501]}"
71,"{""type"":""Point"",""coordinates"":[-73.97762680994947,41.902595682195056]}"
72,"{""type"":""Point"",""coordinates"":[-73.97851414004157,41.9043987543321]}"
73,"{""type"":""Point"",""coordinates"":[-73.97964999202048,41.906788550243505]}"
74,"{""type"":""Point"",""coordinates"":[-73.97821364407031,41.908759886711636]}"
75,"{""type"":""Point"",""coordinates"":[-73.97064932863191,41.90958713081757]}"
76,"{""type"":""Point"",""coordinates"":[-73.97986390844858,41.91374487042422]}"
77,"{""type"":""Point"",""coordinates"":[-73.99441882252324,41.93058015246046]}"
78,"{""type"":""Point"",""coordinates"":[-73.99772383866457,41.93196675950631]}"
79,"{""type"":""Point"",""coordinates"":[-74.00190794798459,41.934520667061065]}"
80,"{""type"":""Point"",""coordinates"":[-74.00041639201663,41.93792881639967]}"
81,"{""type"":""Point"",""coordinates"":[-74.00268583294371,41.94109617359065]}"
82,"{""type"":""Point"",""coordinates"":[-73.99856312019392,41.9420057414917]}"
83,"{""type"":""Point"",""coordinates"":[-73.99491883153587,41.94157822952065]}"
84,"{""type"":""Point"",""coordinates"":[-73.9937777290802,41.94117149211088]}"
85,"{""type"":""Point"",""coordinates"":[-73.99137969329257,41.94121797826497]}"
86,"{""type"":""Point"",""coordinates"":[-73.9868104688959,41.94096195852549]}"
87,"{""type"":""Point"",""coordinates"":[-73.99046644284272,41.9817140646468]}"
88,"{""type"":""Point"",""coordinates"":[-74.00150656508538,41.98004420105299]}"
89,"{""type"":""Point"",""coordinates"":[-74.00144655599871,41.98184264142202]}"
90,"{""type"":""Point"",""coordinates"":[-73.99535916007596,41.984715021398316]}"
91,"{""type"":""Point"",""coordinates"":[-73.99446498828013,41.997045720440035]}"
92,"{""type"":""Point"",""coordinates"":[-73.98342991160996,42.0037690611025]}"
93,"{""type"":""Point"",""coordinates"":[-73.97658903748845,42.00476659074747]}"
94,"{""type"":""Point"",""coordinates"":[-73.95959065451689,42.00605039689169]}"
95,"{""type"":""Point"",""coordinates"":[-73.88462716510213,41.98901621170526]}"
96,"{""type"":""Point"",""coordinates"":[-72.62183927856734,41.78890013985199]}"
97,"{""type"":""Point"",""coordinates"":[-71.39567812769059,41.70263485701149]}"
98,"{""type"":""Point"",""coordinates"":[-71.44508423180804,41.73642091785375]}"
99,"{""type"":""Point"",""coordinates"":[-71.43519002180199,41.754944327873766]}"
100,"{""type"":""Point"",""coordinates"":[-71.41484907984568,41.75446016721848]}"
101,"{""type"":""Point"",""coordinates"":[-71.40908796625672,41.75698272082751]}"
102,"{""type"":""Point"",""coordinates"":[-71.405166812414,41.75528129705141]}"
103,"{""type"":""Point"",""coordinates"":[-71.40350913855343,41.7546304342928]}"
104,"{""type"":""Point"",""coordinates"":[-71.40155969307,41.753628273397446]}"
105,"{""type"":""Point"",""coordinates"":[-71.48946714326013,41.766778516913114]}"
106,"{""type"":""Point"",""coordinates"":[-71.40996699073617,41.81086913736255]}"
107,"{""type"":""Point"",""coordinates"":[-71.41284768321816,41.81212061386129]}"
108,"{""type"":""Point"",""coordinates"":[-71.41472752118176,41.814871427368274]}"
109,"{""type"":""Point"",""coordinates"":[-71.41855684126756,41.815387119836174]}"
110,"{""type"":""Point"",""coordinates"":[-71.420849815557,41.81656334105257]}"
111,"{""type"":""Point"",""coordinates"":[-71.41990665092948,41.81711610637703]}"
112,"{""type"":""Point"",""coordinates"":[-71.41989070339207,41.81856063532041]}"
113,"{""type"":""Point"",""coordinates"":[-71.42501272747882,41.81921424380673]}"
114,"{""type"":""Point"",""coordinates"":[-71.42635948611212,41.82042038591324]}"
115,"{""type"":""Point"",""coordinates"":[-71.42780241586945,41.82184623280087]}"
116,"{""type"":""Point"",""coordinates"":[-71.43125506448257,41.82243871038886]}"
117,"{""type"":""Point"",""coordinates"":[-71.43366322403165,41.82263576701143]}"
118,"{""type"":""Point"",""coordinates"":[-71.43306366035597,41.823983187906734]}"
119,"{""type"":""Point"",""coordinates"":[-71.4266791231538,41.82404437887269]}"
120,"{""type"":""Point"",""coordinates"":[-71.42851107191098,41.824196285366234]}"
121,"{""type"":""Point"",""coordinates"":[-71.42390657920282,41.82540843985965]}"
122,"{""type"":""Point"",""coordinates"":[-71.41333824355388,41.82590704849094]}"
123,"{""type"":""Point"",""coordinates"":[-71.4033770281236,41.8244427240607]}"
124,"{""type"":""Point"",""coordinates"":[-71.37983557159976,41.81910234029645]}"
125,"{""type"":""Point"",""coordinates"":[-71.37759860928134,41.81936619802345]}"
126,"{""type"":""Point"",""coordinates"":[-71.36624028106263,41.81525324330503]}"
127,"{""type"":""Point"",""coordinates"":[-71.3585428548069,41.81293561109282]}"
128,"{""type"":""Point"",""coordinates"":[-71.3536459086962,41.81293899553551]}"
129,"{""type"":""Point"",""coordinates"":[-71.35199366794302,41.813342816232876]}"
130,"{""type"":""Point"",""coordinates"":[-71.34387821952294,41.80806091315624]}"
131,"{""type"":""Point"",""coordinates"":[-81.85550741297027,41.40289635089846]}"
132,"{""type"":""Point"",""coordinates"":[-81.90709772618482,41.4163501090517]}"
133,"{""type"":""Point"",""coordinates"":[-81.99882064543556,41.41521873126048]}"
134,"{""type"":""Point"",""coordinates"":[-82.11193220459495,41.39654127383116]}"
135,"{""type"":""Point"",""coordinates"":[-82.11904978874128,41.40151001102733]}"
136,"{""type"":""Point"",""coordinates"":[-82.12717984271808,41.40080642609804]}"
137,"{""type"":""Point"",""coordinates"":[-82.13369767850793,41.4016268797622]}"
138,"{""type"":""Point"",""coordinates"":[-82.15329665552701,41.39701999524842]}"
139,"{""type"":""Point"",""coordinates"":[-82.16512607121115,41.40103447025205]}"
140,"{""type"":""Point"",""coordinates"":[-82.18915393293707,41.40348511897817]}"
141,"{""type"":""Point"",""coordinates"":[-82.19724315173448,41.40438307390604]}"
142,"{""type"":""Point"",""coordinates"":[-82.19491499430956,41.40456212554811]}"
143,"{""type"":""Point"",""coordinates"":[-82.1991899739026,41.40527786596051]}"
144,"{""type"":""Point"",""coordinates"":[-82.20088057306788,41.405473689729675]}"
145,"{""type"":""Point"",""coordinates"":[-82.20988608983538,41.40793390536353]}"
146,"{""type"":""Point"",""coordinates"":[-82.22203729380203,41.405304844694]}"
147,"{""type"":""Point"",""coordinates"":[-82.2232608845236,41.40519187017535]}"
148,"{""type"":""Point"",""coordinates"":[-82.22854043293626,41.405549158346766]}"
149,"{""type"":""Point"",""coordinates"":[-82.23828021714303,41.406861757698785]}"
150,"{""type"":""Point"",""coordinates"":[-82.24942625036783,41.4044565739212]}"
151,"{""type"":""Point"",""coordinates"":[-82.27657825222559,41.41134531065933]}"
152,"{""type"":""Point"",""coordinates"":[-82.28135794869013,41.41266423870164]}"
153,"{""type"":""Point"",""coordinates"":[-82.5391810373257,41.3722736584163]}"
154,"{""type"":""Point"",""coordinates"":[-82.58360103776192,41.37230583055815]}"
155,"{""type"":""Point"",""coordinates"":[-83.35280672982492,41.43216474119593]}"
156,"{""type"":""Point"",""coordinates"":[-83.64834621565763,41.454459147328855]}"
157,"{""type"":""Point"",""coordinates"":[-83.71770979560142,41.458071553781075]}"
158,"{""type"":""Point"",""coordinates"":[-83.72321312038753,41.45873697816756]}"
159,"{""type"":""Point"",""coordinates"":[-83.72946068199178,41.46009429867269]}"
160,"{""type"":""Point"",""coordinates"":[-83.78033371966677,41.46357168930265]}"
161,"{""type"":""Point"",""coordinates"":[-83.78731547922337,41.46398749879757]}"
162,"{""type"":""Point"",""coordinates"":[-83.90453094319537,41.4515267736112]}"
163,"{""type"":""Point"",""coordinates"":[-83.91971416197202,41.450453311527035]}"
164,"{""type"":""Point"",""coordinates"":[-84.10297357390016,41.39836756482631]}"
165,"{""type"":""Point"",""coordinates"":[-84.11744646884722,41.40180602972871]}"
166,"{""type"":""Point"",""coordinates"":[-84.12509241562617,41.40237652182641]}"
167,"{""type"":""Point"",""coordinates"":[-84.13512845557972,41.401928123771576]}"
168,"{""type"":""Point"",""coordinates"":[-84.13440229163717,41.404314174811276]}"
169,"{""type"":""Point"",""coordinates"":[-84.74724073611952,41.454120279182476]}"
170,"{""type"":""Point"",""coordinates"":[-84.76164194058896,41.45559075216328]}"
171,"{""type"":""Point"",""coordinates"":[-84.815974641185,41.45472484628633]}"
172,"{""type"":""Point"",""coordinates"":[-85.30694454140576,41.497720341864415]}"
173,"{""type"":""Point"",""coordinates"":[-85.35170743098587,41.503363389973]}"
174,"{""type"":""Point"",""coordinates"":[-85.35551985728966,41.50427670980813]}"
175,"{""type"":""Point"",""coordinates"":[-85.69010809833833,41.52605692772237]}"
176,"{""type"":""Point"",""coordinates"":[-85.70080426704806,41.52834745144538]}"
177,"{""type"":""Point"",""coordinates"":[-85.810956594966,41.53310045744453]}"
178,"{""type"":""Point"",""coordinates"":[-85.79393718410313,41.54519531033715]}"
179,"{""type"":""Point"",""coordinates"":[-85.79774592090428,41.54551650205556]}"
180,"{""type"":""Point"",""coordinates"":[-85.82432541277274,41.550036083913135]}"
181,"{""type"":""Point"",""coordinates"":[-88.25278981414192,41.55791296214326]}"
182,"{""type"":""Point"",""coordinates"":[-88.25016496814169,41.55845267951715]}"
183,"{""type"":""Point"",""coordinates"":[-96.47469561238938,42.10201638572801]}"
184,"{""type"":""Point"",""coordinates"":[-97.41330338215408,42.03121236957497]}"
185,"{""type"":""Point"",""coordinates"":[-116.23523805317461,33.60837498120122]}"
186,"{""type"":""Point"",""coordinates"":[-116.23932051730259,33.606507652557106]}"
187,"{""type"":""Point"",""coordinates"":[-116.24138034237194,33.616767543280474]}"
188,"{""type"":""Point"",""coordinates"":[-116.24182510633318,33.61745229696106]}"
189,"{""type"":""Point"",""coordinates"":[-116.24144502296451,33.62007874873316]}"
190,"{""type"":""Point"",""coordinates"":[-116.24508317137986,33.62306815348903]}"
191,"{""type"":""Point"",""coordinates"":[-116.25324237501206,33.63149622255156]}"
192,"{""type"":""Point"",""coordinates"":[-116.26506188672812,33.642152996206676]}"
193,"{""type"":""Point"",""coordinates"":[-116.26561141705184,33.642589958865514]}"
194,"{""type"":""Point"",""coordinates"":[-116.2671086546415,33.64342954957513]}"
195,"{""type"":""Point"",""coordinates"":[-116.29533505669798,33.67957017341442]}"
196,"{""type"":""Point"",""coordinates"":[-116.30737718151909,33.68539588753745]}"
197,"{""type"":""Point"",""coordinates"":[-116.31774250347007,33.68717695888481]}"
198,"{""type"":""Point"",""coordinates"":[-116.1869413898122,33.688314823281154]}"
199,"{""type"":""Point"",""coordinates"":[-116.17781868370503,33.68870182241884]}"
200,"{""type"":""Point"",""coordinates"":[-116.13858742917063,33.68561080055046]}"
