system:index,.geo
0,"{""type"":""Point"",""coordinates"":[-93.02037536745542,35.95217494932184]}"
1,"{""type"":""Point"",""coordinates"":[-93.03410181564499,35.93618375360836]}"
2,"{""type"":""Point"",""coordinates"":[-93.026720376436,35.91929475380417]}"
3,"{""type"":""Point"",""coordinates"":[-93.03247103256393,35.92700992966553]}"
4,"{""type"":""Point"",""coordinates"":[-92.85274157089401,35.63825751155355]}"
5,"{""type"":""Point"",""coordinates"":[-93.49930414718796,35.67784876090929]}"
6,"{""type"":""Point"",""coordinates"":[-89.50714716476608,40.686934811042946]}"
7,"{""type"":""Point"",""coordinates"":[-84.17637476486374,42.6309746642315]}"
8,"{""type"":""Point"",""coordinates"":[-94.54094538253952,38.11097407624696]}"
9,"{""type"":""Point"",""coordinates"":[-95.76815256637741,38.93168868595827]}"
10,"{""type"":""Point"",""coordinates"":[-95.45246729416061,36.81483315407956]}"
11,"{""type"":""Point"",""coordinates"":[-85.41628489059616,40.68550294869024]}"
12,"{""type"":""Point"",""coordinates"":[-90.46381601852585,38.92888440286186]}"
13,"{""type"":""Point"",""coordinates"":[-94.78521952194382,38.729497065701665]}"
14,"{""type"":""Point"",""coordinates"":[-103.18364432480183,41.67853697573165]}"
15,"{""type"":""Point"",""coordinates"":[-92.37035086777058,44.27333700198211]}"
16,"{""type"":""Point"",""coordinates"":[-93.64133170273152,41.12447912677596]}"
17,"{""type"":""Point"",""coordinates"":[-104.50063040878621,43.98946416330177]}"
18,"{""type"":""Point"",""coordinates"":[-103.80849173691121,39.78543834891364]}"
19,"{""type"":""Point"",""coordinates"":[-93.088976838809,40.319918064841296]}"
20,"{""type"":""Point"",""coordinates"":[-104.45776651166057,39.644365625686945]}"
21,"{""type"":""Point"",""coordinates"":[-104.71045205853557,39.15888681315471]}"
22,"{""type"":""Point"",""coordinates"":[-104.17340631621471,47.63626955953475]}"
23,"{""type"":""Point"",""coordinates"":[-101.91022272246471,48.312907545937854]}"
24,"{""type"":""Point"",""coordinates"":[-106.12897272246471,45.92108904529931]}"
25,"{""type"":""Point"",""coordinates"":[-109.63376324813117,47.18851010168521]}"
26,"{""type"":""Point"",""coordinates"":[-105.15134137313117,46.25462346094475]}"
27,"{""type"":""Point"",""coordinates"":[-107.30466168563117,48.48631382220498]}"
28,"{""type"":""Point"",""coordinates"":[-107.15085309188117,45.689596933986735]}"
29,"{""type"":""Point"",""coordinates"":[-95.17575543563117,46.73864808331146]}"
30,"{""type"":""Point"",""coordinates"":[-101.41598981063117,40.928778491545394]}"
31,"{""type"":""Point"",""coordinates"":[-107.81003277938117,46.96405196212796]}"
32,"{""type"":""Point"",""coordinates"":[-106.77731793563117,48.25276309643155]}"
33,"{""type"":""Point"",""coordinates"":[-95.26364606063117,48.47174827805455]}"
34,"{""type"":""Point"",""coordinates"":[-103.71251770798068,32.2647031069531]}"
35,"{""type"":""Point"",""coordinates"":[-93.97863098923068,36.858397519457114]}"
36,"{""type"":""Point"",""coordinates"":[-104.67931458298068,33.665705250487925]}"
37,"{""type"":""Point"",""coordinates"":[-89.44072279967213,38.76413250794151]}"
38,"{""type"":""Point"",""coordinates"":[-107.41225347349973,45.59843154495842]}"
39,"{""type"":""Point"",""coordinates"":[-91.41615972349973,40.429968903520376]}"
40,"{""type"":""Point"",""coordinates"":[-103.78676519224973,48.3268166321072]}"
41,"{""type"":""Point"",""coordinates"":[-108.97231206724973,47.97499009418885]}"
42,"{""type"":""Point"",""coordinates"":[-106.35756597349973,43.786716786494345]}"
43,"{""type"":""Point"",""coordinates"":[-103.50112066099973,37.82253809331579]}"
44,"{""type"":""Point"",""coordinates"":[-86.46174479185919,41.52499026555647]}"
45,"{""type"":""Point"",""coordinates"":[-96.89875651060919,45.81344990197123]}"
46,"{""type"":""Point"",""coordinates"":[-92.13069010435919,43.69166993943493]}"
47,"{""type"":""Point"",""coordinates"":[-95.42658854185919,44.26089964895105]}"
