system:index,.geo
0,"{""type"":""Point"",""coordinates"":[-95.0291229462564,31.77780892964717]}"
1,"{""type"":""Point"",""coordinates"":[-94.7654510712564,33.40680970657277]}"
2,"{""type"":""Point"",""coordinates"":[-91.9968963837564,33.663223103442746]}"
3,"{""type"":""Point"",""coordinates"":[-89.2283416962564,31.515935437358767]}"
4,"{""type"":""Point"",""coordinates"":[-87.8220916962564,31.8151591494378]}"
5,"{""type"":""Point"",""coordinates"":[-83.4715057587564,33.55342478280481]}"
6,"{""type"":""Point"",""coordinates"":[-88.4812713837564,35.8295169566445]}"
7,"{""type"":""Point"",""coordinates"":[-90.0193573212564,36.36215175464612]}"
8,"{""type"":""Point"",""coordinates"":[-92.3045135712564,37.48631270665402]}"
9,"{""type"":""Point"",""coordinates"":[-85.7566620087564,31.77780892964717]}"
10,"{""type"":""Point"",""coordinates"":[-83.0320526337564,31.88981428159779]}"
11,"{""type"":""Point"",""coordinates"":[-84.3943573212564,38.21499730241641]}"
12,"{""type"":""Point"",""coordinates"":[-80.3953338837564,35.543971987474805]}"
13,"{""type"":""Point"",""coordinates"":[-77.8904510712564,37.10175312262379]}"
14,"{""type"":""Point"",""coordinates"":[-78.6814666962564,34.93380548275497]}"
15,"{""type"":""Point"",""coordinates"":[-83.8670135712564,31.102934289472305]}"
16,"{""type"":""Point"",""coordinates"":[-90.8543182587564,31.32843213918888]}"
17,"{""type"":""Point"",""coordinates"":[-94.5017791962564,30.839175290112575]}"
18,"{""type"":""Point"",""coordinates"":[-97.1824432587564,29.89127043361055]}"
19,"{""type"":""Point"",""coordinates"":[-99.0281463837564,30.461116613660266]}"
20,"{""type"":""Point"",""coordinates"":[-91.8211151337564,37.10175312262379]}"
21,"{""type"":""Point"",""coordinates"":[-92.1287323212564,40.12272711720572]}"
22,"{""type"":""Point"",""coordinates"":[-87.2508026337564,37.20682791549043]}"
23,"{""type"":""Point"",""coordinates"":[-85.4050995087564,39.17533178747454]}"
24,"{""type"":""Point"",""coordinates"":[-85.4929901337564,36.8560112980352]}"
25,"{""type"":""Point"",""coordinates"":[-86.6795135712564,34.28276354567178]}"
26,"{""type"":""Point"",""coordinates"":[-80.9226776337564,33.18642251629096]}"
27,"{""type"":""Point"",""coordinates"":[-78.6814666962564,36.89116584824683]}"
28,"{""type"":""Point"",""coordinates"":[-77.6267791962564,35.79387975412509]}"
29,"{""type"":""Point"",""coordinates"":[-99.3357635712564,30.233573746088677]}"
30,"{""type"":""Point"",""coordinates"":[-97.8855682587564,28.818821025137943]}"
31,"{""type"":""Point"",""coordinates"":[-95.5125213837564,30.876899737492177]}"
32,"{""type"":""Point"",""coordinates"":[-92.0408416962564,39.78586243393014]}"
33,"{""type"":""Point"",""coordinates"":[-86.9871307587564,36.820840571411395]}"
34,"{""type"":""Point"",""coordinates"":[-90.9422088837564,35.40081665410573]}"
35,"{""type"":""Point"",""coordinates"":[-91.6892791962564,36.71523139135273]}"
36,"{""type"":""Point"",""coordinates"":[-85.2293182587564,30.461116613660266]}"
37,"{""type"":""Point"",""coordinates"":[-83.1199432587564,29.96744006426237]}"
38,"{""type"":""Point"",""coordinates"":[-92.0408416962564,32.22501288950484]}"
39,"{""type"":""Point"",""coordinates"":[-93.3152557587564,33.11283650683535]}"
40,"{""type"":""Point"",""coordinates"":[-93.5789276337564,30.65033073206441]}"
41,"{""type"":""Point"",""coordinates"":[-98.9402557587564,28.664696815135674]}"
42,"{""type"":""Point"",""coordinates"":[-81.3621307587564,39.41339709876138]}"
43,"{""type"":""Point"",""coordinates"":[-86.5476776337564,39.141256402569006]}"
44,"{""type"":""Point"",""coordinates"":[-89.2283416962564,34.96982455932418]}"
